location_id,location_name,city,province,latitude,longitude,sensor_type
7441,Hanoi (US Embassy),Hanoi,Hanoi,21.021939,105.818806,reference
2539,US Diplomatic Post: Hanoi,Hanoi,Hanoi,21.02177,105.819002,reference
1285357,SPARTAN - Vietnam Acad. Sci.,Hanoi,Hanoi,21.0478,105.8000,reference
2161290,An Khánh,Hanoi,Hanoi,21.0024,105.7181,reference
2161291,Cầu Diễn,Hanoi,Hanoi,21.0398,105.7652,reference
2161292,Số 46 phố Lưu Quang Vũ,Hanoi,Hanoi,21.0152,105.7999,reference
2161316,Thành Công,Hanoi,Hanoi,21.0197,105.8147,reference
2161317,Thanh Xuân - Sóc Sơn,Hanoi,Hanoi,21.2287,105.7583,reference
2161318,Tứ Liên,Hanoi,Hanoi,21.0639,105.8338,reference
2161319,Vân Đình,Hanoi,Hanoi,20.7339,105.7703,reference
2161320,Vân Hà,Hanoi,Hanoi,21.1476,105.9159,reference
2161321,Văn Quán,Hanoi,Hanoi,20.972,105.7856,reference
2161323,Xuân Mai,Hanoi,Hanoi,20.8994,105.5773,reference
4946811,556 Nguyễn Văn Cừ,Hanoi,Hanoi,21.0491,105.8831,reference
4946812,Công viên Nhân Chính,Hanoi,Hanoi,21.0031,105.7947,reference
4946813,Số 1 đường Giải Phóng,Hanoi,Hanoi,21.0052,105.8418,reference
6123215,OceanPark,Hanoi,Hanoi,20.9933,105.9441,low_cost
7440,US Diplomatic Post: Ho Chi Minh City,Ho Chi Minh City,Ho Chi Minh City,10.782773,106.700035,reference
2446,US Diplomatic Post: Ho Chi Minh City (predecessor),Ho Chi Minh City,Ho Chi Minh City,10.783041,106.700722,reference
6068138,Care Centre,Ho Chi Minh City,Ho Chi Minh City,10.774491,106.661026,low_cost
6273386,VNUHCMUS Campus 1,Ho Chi Minh City,Ho Chi Minh City,10.761968,106.682582,low_cost
